Time[s], Channel 1
2.36850264, 1
2.36853224, 0
2.37049872, 1
2.37052833, 0
2.37249511, 1
2.37252471, 0
2.39743936, 1
2.39750075, 0
2.39943479, 1
2.39949609, 0
2.40143064, 1
2.40149197, 0
2.40342690, 1
2.40348820, 0
2.40542234, 1
2.40548364, 0
2.40741823, 1
2.40747954, 0
2.40941392, 1
2.40947521, 0
2.41140940, 1
2.41147071, 0
2.41340472, 1
2.41346601, 0
2.41540027, 1
2.41546157, 0
2.42338124, 1
2.42343838, 0
2.42537659, 1
2.42543346, 0
2.42737202, 1
2.42742889, 0
2.42936773, 1
2.42942459, 0
2.43136294, 1
2.43141979, 0
2.43335817, 1
2.43341505, 0
2.43535387, 1
2.43541074, 0
2.43734865, 1
2.43740549, 0
2.43934372, 1
2.43940058, 0
2.44133862, 1
2.44139548, 0
2.46627654, 1
2.46639872, 0
2.46827176, 1
2.46839389, 0
2.47026724, 1
2.47038936, 0
2.47226245, 1
2.47238454, 0
2.47425769, 1
2.47437977, 0
2.47625317, 1
2.47637535, 0
2.47824901, 1
2.47837116, 0
2.48024444, 1
2.48036656, 0
2.48223970, 1
2.48236184, 0
2.48423587, 1
2.48435801, 0
2.49221685, 1
2.49232804, 0
2.49421130, 1
2.49432217, 0
2.49620634, 1
2.49631722, 0
2.49820194, 1
2.49831284, 0
2.50019756, 1
2.50030851, 0
2.50219274, 1
2.50230366, 0
2.50418784, 1
2.50429876, 0
2.50618279, 1
2.50629369, 0
2.50817810, 1
2.50828905, 0
2.51017343, 1
2.51028436, 0
2.53512356, 1
2.53536754, 0
2.53711981, 1
2.53736364, 0
2.53911605, 1
2.53935990, 0
2.54111256, 1
2.54135649, 0
2.54310913, 1
2.54335297, 0
2.54510541, 1
2.54534936, 0
2.54710215, 1
2.54734598, 0
2.54909827, 1
2.54934207, 0
2.55109463, 1
2.55133848, 0
2.55309051, 1
2.55333434, 0
2.56107678, 1
2.56129679, 0
2.56307292, 1
2.56329255, 0
2.56506864, 1
2.56528818, 0
2.56706454, 1
2.56728414, 0
2.56906063, 1
2.56928025, 0
2.57105688, 1
2.57127645, 0
2.57305274, 1
2.57327230, 0
2.57504787, 1
2.57526736, 0
2.57704279, 1
2.57726226, 0
2.57903721, 1
2.57925663, 0
2.60397538, 1
2.60446253, 0
2.60696854, 1
2.60745553, 0
2.60996170, 1
2.61044884, 0
2.61295611, 1
2.61344323, 0
2.61595055, 1
2.61643773, 0
2.61894416, 1
2.61943112, 0
2.62193712, 1
2.62242418, 0
2.62493063, 1
2.62541780, 0
2.62792450, 1
2.62841158, 0
2.63091804, 1
2.63140506, 0
2.63889906, 1
2.63933607, 0
2.64189202, 1
2.64232861, 0
2.64488446, 1
2.64532105, 0
2.64787738, 1
2.64831399, 0
2.65087025, 1
2.65130677, 0
2.65386315, 1
2.65429979, 0
2.65685575, 1
2.65729246, 0
2.65984866, 1
2.66028537, 0
2.66284124, 1
2.66327793, 0
2.66583406, 1
2.66627071, 0
